Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,765222932,9817.422153911,441290,5.661526910826277,0,6921614,88.80079749677515,2652,0.03402381510460531,0,
United States of America,Americas,103266404,31198.059,86484,26.128,0,1124063,339.593,1046,0.316,0
China,Western Pacific,99248443,6745.689,2723,0.185,0,120961,8.221,24,0.002,0
India,South-East Asia,44952996,3257.453,37540,2.72,0,531564,38.519,166,0.012,0
France,Europe,38930489,59856.815,30718,47.23,0,162868,250.415,131,0.201,0
Germany,Europe,38403667,46176.729,3782,4.547,0,173044,208.069,7,0.008,0
Brazil,Americas,37449418,17618.329,42186,19.847,0,701494,330.023,279,0.131,0
Japan,Western Pacific,33720739,26661.672,56194,44.43,0,74542,58.937,135,0.107,0
Republic of Korea,Western Pacific,31176660,60809.744,61874,120.685,0,34487,67.267,38,0.074,0
Italy,Europe,25788387,43239.007,7151,11.99,0,189738,318.131,51,0.086,0
The United Kingdom,Europe,24581706,36210.271,2397,3.531,0,224106,330.121,0,0,0
Russian Federation,Europe,22858855,15663.782,32028,21.947,0,398366,272.976,191,0.131,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13825052,29208.3,0,0,0,120715,255.036,0,0,0
Viet Nam,Western Pacific,11561848,11877.971,12662,13.008,0,43191,44.372,3,0.003,0
Australia,Western Pacific,11210651,43963.537,0,0,0,20119,78.898,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8610372,49463.335,0,0,0,22992,132.08,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7607744,9057.598,341,0.406,0,146058,173.893,17,0.02,0
Mexico,Americas,7587447,5884.81,8042,6.237,0,333908,258.978,47,0.036,0
Indonesia,South-East Asia,6776984,2477.66,9858,3.604,0,161327,58.981,123,0.045,0
Poland,Europe,6513979,17160.955,1025,2.7,0,119555,314.965,15,0.04,0
Colombia,Americas,6364636,12508.401,622,1.222,0,142713,280.473,7,0.014,0
Austria,Europe,6065711,68145.909,4249,47.736,0,22372,251.341,9,0.101,0
Greece,Europe,6018544,56150.651,0,0,0,36754,342.9,0,0,0
Portugal,Europe,5581619,54212.008,618,6.002,0,26575,258.112,18,0.175,0
Ukraine,Europe,5529459,12643.457,0,0,0,112128,256.388,0,0,0
Chile,Americas,5283908,27640.994,2227,11.65,0,61384,321.11,61,0.319,0
Malaysia,Western Pacific,5071840,15670.272,4963,15.334,0,37020,114.379,9,0.028,0
Israel,Europe,4822313,55713.594,1183,13.668,0,12493,144.335,6,0.069,0
Belgium,Europe,4793425,41600.781,330,2.864,0,34237,297.133,4,0.035,0
Thailand,South-East Asia,4732301,6779.803,1811,2.595,0,33957,48.649,10,0.014,0
Canada,Americas,4659971,12346.86,5207,13.796,0,52121,138.098,0,0,0
Czechia,Europe,4640354,43392.374,472,4.414,0,42767,399.918,7,0.065,0
Peru,Americas,4501130,13651.431,1775,5.383,0,220122,667.606,49,0.149,0
Switzerland,Europe,4402432,50868.011,0,0,0,13995,161.706,0,0,0
Philippines,Western Pacific,4092158,3734.366,2449,2.235,0,66444,60.635,0,0,0
South Africa,Africa,4072533,6866.672,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3411909,58596.048,458,7.866,0,8556,146.941,30,0.515,0
Romania,Europe,3393902,17558.748,3778,19.546,0,68089,352.266,42,0.217,0
Sweden,Europe,2706122,26202.844,0,0,0,24070,233.065,0,0,0
Serbia,Europe,2534886,36595.842,2137,30.852,0,18021,260.167,4,0.058,0
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
Singapore,Western Pacific,2368597,40486.471,0,0,0,1722,29.434,0,0,0
New Zealand,Western Pacific,2251440,46688.744,0,0,0,2736,56.737,0,0,0
Hungary,Europe,2201355,22532.874,0,0,0,48762,499.123,0,0,0
Bangladesh,South-East Asia,2038250,1237.633,65,0.039,0,29446,17.88,0,0,0
Slovakia,Europe,1866470,34197.754,158,2.895,0,21167,387.825,0,0,0
Georgia,Europe,1840187,46129.513,0,0,0,17059,427.632,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1710302,34451.056,163,3.283,0,8849,178.248,25,0.504,0
Pakistan,Eastern Mediterranean,1580631,715.566,21,0.01,0,30656,13.878,0,0,0
Kazakhstan,Europe,1502667,8002.825,293,1.56,0,19072,101.573,0,0,0
Norway,Europe,1483222,27632.974,242,4.509,0,5435,101.256,0,0,0
Finland,Europe,1473603,26670.138,206,3.728,0,9308,168.462,0,0,0
Slovenia,Europe,1343485,64101.818,167,7.968,0,9304,443.923,0,0,0
Lithuania,Europe,1318513,47189.353,326,11.667,0,9668,346.016,5,0.179,0
Bulgaria,Europe,1304393,18764.243,580,8.344,0,38328,551.364,7,0.101,0
Morocco,Eastern Mediterranean,1273463,3450.132,333,0.902,0,16297,44.153,0,0,0
Croatia,Europe,1272886,31366.048,509,12.543,0,18180,447.986,25,0.616,0
Guatemala,Americas,1248171,6966.963,750,4.186,0,20189,112.69,0,0,0
Lebanon,Eastern Mediterranean,1236702,18118.994,349,5.113,0,10900,159.697,3,0.044,0
Costa Rica,Americas,1228659,24119.17,1113,21.849,0,9351,183.565,12,0.236,0
Bolivia (Plurinational State of),Americas,1197239,10256.462,420,3.598,0,22377,191.698,1,0.009,0
Tunisia,Eastern Mediterranean,1152612,9752.51,0,0,0,29387,248.65,0,0,0
Puerto Rico,Americas,1116823,39038.112,2660,92.979,0,5891,205.918,7,0.245,0
Cuba,Americas,1113088,9827.189,0,0,0,8530,75.309,0,0,0
United Arab Emirates,Eastern Mediterranean,1062321,10740.928,353,3.569,0,2349,23.75,0,0,0
Ecuador,Americas,1061100,6014.265,0,0,0,36019,204.154,0,0,0
Uruguay,Americas,1037893,29878.344,0,0,0,7625,219.505,0,0,0
Panama,Americas,1036733,24027.555,633,14.671,0,8621,199.802,3,0.07,0
Mongolia,Western Pacific,1007970,30746.822,0,0,0,2136,65.156,0,0,0
Nepal,South-East Asia,1003004,3442.395,213,0.731,0,12030,41.288,2,0.007,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,977667,51249.138,108,5.661,0,6346,332.656,4,0.21,0
Saudi Arabia,Eastern Mediterranean,840337,2413.799,846,2.43,0,9643,27.699,1,0.003,0
Azerbaijan,Europe,831386,8199.74,258,2.545,0,10242,101.014,12,0.118,0
Paraguay,Americas,735759,10315.529,0,0,0,19880,278.723,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,0,0,0,1536,90.269,0,0,0
Sri Lanka,South-East Asia,672177,3139.071,34,0.159,0,16843,78.657,2,0.009,0
Kuwait,Eastern Mediterranean,665741,15589.039,0,0,0,2570,60.179,0,0,0
Dominican Republic,Americas,661045,6093.754,37,0.341,0,4384,40.413,0,0,0
Cyprus,Europe,658450,74149.357,0,0,0,1354,152.477,0,0,0
Myanmar,South-East Asia,635102,1167.257,563,1.035,0,19492,35.824,2,0.004,0
Republic of Moldova,Europe,620253,15375.773,280,6.941,0,12112,300.251,6,0.149,0
Estonia,Europe,618173,46514.986,190,14.297,0,3001,225.813,0,0,0
Venezuela (Bolivarian Republic of),Americas,552578,1943.238,23,0.081,0,5856,20.594,0,0,0
Egypt,Eastern Mediterranean,515970,504.2,0,0,0,24826,24.26,0,0,0
Libya,Eastern Mediterranean,507250,7382.163,0,0,0,6437,93.68,0,0,0
Qatar,Eastern Mediterranean,506323,17574.234,0,0,0,690,23.95,0,0,0
Ethiopia,Africa,500837,435.648,20,0.017,0,7574,6.588,0,0,0
Réunion,Africa,494595,55242.753,0,0,0,921,102.869,0,0,0
Honduras,Americas,472533,4770.84,0,0,0,11112,112.19,0,0,0
Armenia,Europe,449062,15154.456,0,0,0,8747,295.184,0,0,0
Bosnia and Herzegovina,Europe,402848,12278.9,25,0.762,0,16337,497.956,1,0.03,0
Oman,Eastern Mediterranean,399449,7822.171,0,0,0,4628,90.627,0,0,0
North Macedonia,Europe,348142,16710.442,0,0,0,9673,464.294,0,0,0
Zambia,Africa,343910,1870.707,29,0.158,0,4058,22.074,0,0,0
Kenya,Africa,343060,637.998,18,0.033,0,5688,10.578,0,0,0
Albania,Europe,334090,11609.215,0,0,0,3604,125.235,0,0,0
Botswana,Africa,329852,14026.544,0,0,0,2796,118.896,0,0,0
Luxembourg,Europe,319959,51102.845,0,0,0,1232,196.771,0,0,0
Mauritius,Africa,301096,23675.387,0,0,0,1046,82.248,0,0,0
Montenegro,Europe,289292,46061.058,0,0,0,2808,447.09,0,0,0
Brunei Darussalam,Western Pacific,288051,65843.389,0,0,0,157,35.887,0,0,0
Kosovo[1],Europe,273852,15250.72,29,1.615,0,3206,178.541,0,0,0
Algeria,Africa,271719,619.641,38,0.087,0,6881,15.692,0,0,0
Nigeria,Africa,266675,129.366,0,0,0,3155,1.531,0,0,0
Zimbabwe,Africa,264685,1780.841,41,0.276,0,5686,38.256,1,0.007,0
Uzbekistan,Europe,253009,755.946,256,0.765,0,1637,4.891,0,0,0
Mozambique,Africa,233417,746.805,0,0,0,2243,7.176,0,0,0
